Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2013,33,40,26,22,54,64,44,0.00,7,15,26
1,2,2013,28,33,22,11,48,57,39,0.00,6,15,22
1,3,2013,28,32,24,14,56,68,43,0.00,5,13,20
1,4,2013,34,37,30,19,56,63,48,0.00,8,18,28
1,5,2013,37,42,32,19,48,56,39,0.00,7,17,26
1,6,2013,40,46,34,27,67,89,45,T,7,13,20
1,7,2013,41,45,37,23,50,64,36,0.00,5,16,25
1,8,2013,42,48,35,27,59,70,48,0.00,7,17,25
1,9,2013,44,49,39,32,65,76,54,0.00,4,14,22
1,10,2013,44,47,40,23,48,62,34,0.00,7,15,22
1,11,2013,42,46,37,35,74,100,48,0.55,5,10,14
1,12,2013,45,47,42,42,93,100,86,0.02,4,10,14
1,13,2013,47,50,43,44,93,100,86,0.00,3,12,18
1,14,2013,47,56,38,45,73,100,46,0.09,3,14,21
1,15,2013,37,38,35,26,72,89,54,0.12,7,13,19
1,16,2013,35,37,32,32,83,96,70,0.69,5,16,27
1,17,2013,39,43,35,26,66,82,49,0.00,6,13,20
1,18,2013,30,35,25,9,46,61,31,0.00,7,14,23
1,19,2013,41,51,30,22,48,64,32,0.00,10,20,32
1,20,2013,42,53,30,20,41,64,18,0.00,11,23,37
1,21,2013,29,32,26,10,47,58,35,0.00,5,15,22
1,22,2013,20,27,13,0,43,58,28,T,11,20,29
1,23,2013,16,20,11,-5,42,53,31,0.00,8,17,26
1,24,2013,17,22,12,-2,46,61,31,0.00,8,20,31
1,25,2013,19,24,13,8,62,84,39,0.07,7,15,23
1,26,2013,21,27,15,7,59,80,38,0.00,7,17,27
1,27,2013,27,34,19,8,50,67,33,0.00,6,14,21
1,28,2013,33,36,29,26,69,96,42,0.22,5,13,20
1,29,2013,43,49,36,37,82,93,70,0.06,4,10,29
1,30,2013,49,59,39,46,89,100,77,0.04,5,15,23
1,31,2013,46,61,30,35,63,93,32,0.90,12,26,43
2,1,2013,28,31,24,9,46,60,31,0.00,9,15,32
2,2,2013,24,29,19,10,58,81,34,0.02,7,16,26
2,3,2013,27,30,24,18,67,81,53,0.02,4,10,15
2,4,2013,27,30,23,9,54,69,39,0.00,7,17,32
2,5,2013,30,32,28,24,68,85,50,0.02,5,13,15
2,6,2013,34,39,29,19,62,92,31,0.00,5,15,22
2,7,2013,29,32,26,10,44,59,29,0.00,6,10,13
2,8,2013,31,34,27,29,78,92,63,1.15,14,25,37
2,9,2013,27,32,21,18,64,92,36,0.38,9,18,31
2,10,2013,27,36,18,11,51,67,35,0.00,3,13,20
2,11,2013,40,45,34,39,74,100,47,0.49,4,10,18
2,12,2013,40,44,36,25,64,83,45,0.00,9,17,32
2,13,2013,39,44,33,25,61,82,40,0.03,3,12,18
2,14,2013,40,46,33,28,63,89,37,T,4,13,18
2,15,2013,46,55,37,31,59,76,41,0.00,6,16,24
2,16,2013,36,41,31,25,69,92,45,0.02,7,15,25
2,17,2013,25,32,18,3,37,47,27,0.00,12,25,40
2,18,2013,26,35,17,4,39,49,28,0.00,8,17,31
2,19,2013,41,49,33,29,64,89,38,0.15,7,18,28
2,20,2013,32,38,25,12,45,54,36,0.00,12,22,34
2,21,2013,29,34,24,10,49,60,38,0.00,10,21,32
2,22,2013,32,38,25,21,59,70,48,0.00,7,16,24
2,23,2013,39,42,36,36,85,93,76,0.26,9,21,30
2,24,2013,41,47,34,32,72,92,52,0.01,7,17,32
2,25,2013,39,45,32,24,57,69,45,0.00,5,12,18
2,26,2013,40,44,35,30,75,92,57,0.14,8,20,28
2,27,2013,42,47,36,38,83,100,65,1.56,11,24,37
2,28,2013,45,51,39,32,58,70,46,T,5,12,19
3,1,2013,41,45,36,27,60,75,45,0.00,5,15,23
3,2,2013,36,40,31,23,59,69,48,T,8,13,19
3,3,2013,35,40,29,17,56,72,40,T,8,16,25
3,4,2013,35,42,27,17,52,63,40,0.00,10,18,29
3,5,2013,40,49,31,22,50,63,37,0.00,7,15,25
3,6,2013,40,42,38,30,69,82,55,0.00,16,30,46
3,7,2013,36,38,33,30,78,96,59,0.19,10,26,37
3,8,2013,37,42,31,30,76,100,51,0.56,8,17,27
3,9,2013,45,55,35,21,40,59,21,0.00,6,16,23
3,10,2013,43,50,36,32,70,82,58,0.00,5,13,16
3,11,2013,47,54,40,40,81,93,68,0.00,7,16,24
3,12,2013,50,57,43,47,81,96,65,0.79,8,20,37
3,13,2013,45,52,38,27,54,76,31,0.00,6,17,27
3,14,2013,35,41,29,10,41,59,23,0.00,12,21,34
3,15,2013,39,47,30,17,46,57,35,0.00,8,16,26
3,16,2013,37,41,32,27,67,89,44,0.12,4,13,19
3,17,2013,34,38,29,16,57,82,32,0.00,6,14,23
3,18,2013,32,35,28,19,68,100,35,0.60,10,17,24
3,19,2013,38,43,33,32,78,96,59,0.36,10,23,33
3,20,2013,39,45,32,17,46,64,28,T,8,20,28
3,21,2013,35,40,30,15,54,78,30,T,6,14,23
3,22,2013,35,41,28,15,48,58,37,0.00,9,17,26
3,23,2013,39,46,32,17,44,56,31,0.00,10,18,31
3,24,2013,40,47,33,20,47,59,34,0.00,5,13,18
3,25,2013,38,40,36,30,71,92,50,0.17,9,24,36
3,26,2013,45,53,37,26,54,76,32,0.00,5,13,20
3,27,2013,45,53,36,23,43,60,26,0.00,6,16,24
3,28,2013,44,51,37,28,56,70,42,T,6,13,23
3,29,2013,48,55,40,26,47,64,29,0.00,6,15,24
3,30,2013,50,59,40,25,42,64,19,0.00,4,12,17
3,31,2013,49,54,44,33,61,93,29,0.08,6,16,24
4,1,2013,50,62,37,37,62,93,30,T,7,20,31
4,2,2013,38,43,33,10,33,43,22,0.00,10,18,30
4,3,2013,40,46,33,9,31,41,20,0.00,11,15,31
4,4,2013,43,53,33,18,40,53,26,0.00,6,13,22
4,5,2013,53,64,41,22,37,57,16,0.00,6,17,29
4,6,2013,44,52,35,15,36,57,14,0.00,6,20,31
4,7,2013,48,55,40,33,56,71,40,0.00,7,14,31
4,8,2013,62,73,51,41,52,77,27,0.00,4,16,26
4,9,2013,67,82,51,42,53,89,16,T,5,17,31
4,10,2013,65,74,55,50,65,86,44,0.49,5,16,32
4,11,2013,54,60,47,48,77,93,60,T,6,15,23
4,12,2013,44,47,41,39,82,93,71,0.63,11,23,34
4,13,2013,50,58,41,37,67,93,41,0.01,3,13,19
4,14,2013,52,57,46,29,46,61,30,0.00,6,16,24
4,15,2013,52,59,44,29,51,71,30,0.00,6,14,18
4,16,2013,55,63,47,46,70,80,60,0.00,7,18,26
4,17,2013,63,71,55,43,53,78,28,0.02,5,12,19
4,18,2013,55,59,51,43,70,100,40,0.01,6,17,27
4,19,2013,63,71,55,56,80,93,66,0.05,7,16,26
4,20,2013,52,60,43,35,54,83,25,0.06,9,16,30
4,21,2013,46,55,37,21,40,58,22,0.00,5,15,23
4,22,2013,48,55,41,31,53,67,38,0.00,10,21,26
4,23,2013,47,53,41,35,69,76,62,0.00,9,20,31
4,24,2013,57,69,44,43,64,83,45,0.00,5,12,19
4,25,2013,56,66,46,29,48,77,18,0.00,5,16,28
4,26,2013,59,67,50,29,32,45,18,0.00,3,13,23
4,27,2013,60,71,48,27,32,46,18,0.00,5,13,18
4,28,2013,60,69,51,33,41,59,22,0.00,4,14,21
4,29,2013,55,57,52,46,69,77,61,0.04,5,13,22
4,30,2013,60,68,51,35,54,89,18,0.00,5,10,-
5,1,2013,58,69,47,36,49,71,27,0.00,5,16,26
5,2,2013,61,72,49,40,54,80,27,0.00,4,9,14
5,3,2013,58,66,49,39,57,80,34,0.00,7,17,27
5,4,2013,59,69,48,41,61,86,35,0.00,6,16,22
5,5,2013,55,64,46,39,56,76,36,0.00,6,14,19
5,6,2013,58,69,46,46,69,86,52,0.00,4,12,16
5,7,2013,63,74,52,52,68,83,53,0.00,6,10,14
5,8,2013,59,63,55,57,88,97,78,3.02,6,12,17
5,9,2013,61,68,54,55,80,93,67,0.50,4,9,13
5,10,2013,69,79,59,54,61,80,42,0.01,4,10,20
5,11,2013,66,70,61,61,89,100,78,1.09,3,10,18
5,12,2013,61,70,51,39,59,93,24,T,8,16,29
5,13,2013,52,58,45,27,44,58,29,0.00,7,15,25
5,14,2013,52,61,42,26,45,70,19,0.00,4,10,17
5,15,2013,62,69,54,45,56,73,38,0.00,10,22,28
5,16,2013,71,79,62,50,55,78,32,0.00,4,13,23
5,17,2013,65,72,58,39,40,51,29,0.00,4,17,26
5,18,2013,61,65,56,48,62,80,43,0.01,2,9,16
5,19,2013,57,59,55,55,84,100,67,0.60,5,12,18
5,20,2013,69,79,58,60,82,100,64,0.00,2,10,15
5,21,2013,77,86,68,65,70,84,55,0.00,5,13,22
5,22,2013,69,78,59,63,79,90,68,0.00,3,16,24
5,23,2013,72,80,64,66,84,100,67,1.81,5,12,22
5,24,2013,55,65,45,54,88,100,76,0.30,5,15,30
5,25,2013,50,54,45,41,76,92,59,0.14,9,17,34
5,26,2013,57,66,48,35,48,66,30,0.00,8,20,29
5,27,2013,62,73,51,36,39,54,23,0.00,4,12,20
5,28,2013,62,68,56,52,72,100,43,0.52,3,10,17
5,29,2013,70,82,58,61,79,100,58,0.00,2,10,16
5,30,2013,81,90,72,63,56,73,38,0.00,5,10,17
5,31,2013,83,90,75,63,52,69,35,0.00,4,10,18
